,subject,timepoint,event,region,signal,unique_subject_id,recording_id
67,s0,0,stim,frontal,-0.0214524594615,s0_stim,s0_stim
170,s2,6,stim,frontal,0.101050432206,s2_stim,s2_stim
267,s10,4,stim,frontal,0.0300440528842,s10_stim,s10_stim
268,s11,4,stim,frontal,0.075957371738,s11_stim,s11_stim
269,s3,0,stim,frontal,0.0110564879557,s3_stim,s3_stim
270,s4,0,stim,frontal,-0.0175155017738,s4_stim,s4_stim
271,s5,0,stim,frontal,-0.0229773510382,s5_stim,s5_stim
272,s6,0,stim,frontal,-0.00794660736514,s6_stim,s6_stim
273,s7,0,stim,frontal,-0.0208637774128,s7_stim,s7_stim
274,s8,0,stim,frontal,0.01885189399,s8_stim,s8_stim
275,s9,0,stim,frontal,0.00288790240614,s9_stim,s9_stim
276,s10,0,stim,frontal,0.0743989963727,s10_stim,s10_stim
277,s11,0,stim,frontal,-0.028422663656,s11_stim,s11_stim
278,s12,0,stim,frontal,0.0383924609177,s12_stim,s12_stim
279,s13,0,stim,frontal,-0.0382661560354,s13_stim,s13_stim
280,s0,1,stim,frontal,-0.0210536291102,s0_stim,s0_stim
281,s1,1,stim,frontal,-0.0602726368389,s1_stim,s1_stim
282,s2,1,stim,frontal,-0.036432999521,s2_stim,s2_stim
283,s3,1,stim,frontal,-0.0102617412665,s3_stim,s3_stim
284,s1,0,stim,frontal,-0.0460485902002,s1_stim,s1_stim
285,s5,1,stim,frontal,-0.0271789021177,s5_stim,s5_stim
286,s6,1,stim,frontal,0.00956665177569,s6_stim,s6_stim
287,s7,1,stim,frontal,-0.0235255792331,s7_stim,s7_stim
288,s8,1,stim,frontal,-0.00923150443538,s8_stim,s8_stim
289,s9,1,stim,frontal,-0.0056164258793199,s9_stim,s9_stim
290,s10,1,stim,frontal,0.0635584004637,s10_stim,s10_stim
291,s11,1,stim,frontal,-0.0462346147549,s11_stim,s11_stim
292,s12,1,stim,frontal,0.0447695772963,s12_stim,s12_stim
293,s13,1,stim,frontal,-0.0464925630129,s13_stim,s13_stim
294,s0,2,stim,frontal,-0.00903763731098,s0_stim,s0_stim
295,s1,2,stim,frontal,-0.0375198109288,s1_stim,s1_stim
296,s2,2,stim,frontal,-0.0107439374483,s2_stim,s2_stim
297,s3,2,stim,frontal,-0.0573062927735,s3_stim,s3_stim
298,s4,2,stim,frontal,-0.0227629589625,s4_stim,s4_stim
299,s5,2,stim,frontal,0.00383564210338,s5_stim,s5_stim
300,s6,2,stim,frontal,0.025363154735,s6_stim,s6_stim
301,s7,2,stim,frontal,0.00179510893658,s7_stim,s7_stim
302,s8,2,stim,frontal,-0.0425319036155,s8_stim,s8_stim
303,s9,2,stim,frontal,-0.0144415260014,s9_stim,s9_stim
304,s10,2,stim,frontal,0.0308917221226,s10_stim,s10_stim
