,subject,timepoint,event,region,signal,unique_subject_id,recording_id
0,s13,18,stim,parietal,-0.017551581538,s13_stim,s13_stim
1,s5,14,stim,parietal,-0.0808829319505,s5_stim,s5_stim
2,s12,18,stim,parietal,-0.0810330187333,s12_stim,s12_stim
3,s11,18,stim,parietal,-0.0461343901751999,s11_stim,s11_stim
4,s10,18,stim,parietal,-0.0379702032642,s10_stim,s10_stim
5,s9,18,stim,parietal,-0.10351309616,s9_stim,s9_stim
6,s8,18,stim,parietal,-0.0644081947232,s8_stim,s8_stim
7,s7,18,stim,parietal,-0.0605262017124,s7_stim,s7_stim
8,s6,18,stim,parietal,-0.00702856091007,s6_stim,s6_stim
9,s5,18,stim,parietal,-0.0405568546157,s5_stim,s5_stim
10,s4,18,stim,parietal,-0.0488121999465999,s4_stim,s4_stim
11,s3,18,stim,parietal,-0.0471481458275,s3_stim,s3_stim
12,s2,18,stim,parietal,-0.0866229594917999,s2_stim,s2_stim
13,s1,18,stim,parietal,-0.0466590461638,s1_stim,s1_stim
14,s0,18,stim,parietal,-0.0755699759477,s0_stim,s0_stim
15,s13,17,stim,parietal,-0.00826462526111,s13_stim,s13_stim
16,s12,17,stim,parietal,-0.0885117501225,s12_stim,s12_stim
17,s7,9,stim,parietal,0.058896545297,s7_stim,s7_stim
18,s10,17,stim,parietal,-0.016846516627,s10_stim,s10_stim
19,s9,17,stim,parietal,-0.12157375579,s9_stim,s9_stim
20,s8,17,stim,parietal,-0.0762871207962,s8_stim,s8_stim
21,s7,17,stim,parietal,-0.0438120213819,s7_stim,s7_stim
22,s6,17,stim,parietal,-0.0147463892981,s6_stim,s6_stim
23,s5,17,stim,parietal,-0.0566820608044,s5_stim,s5_stim
24,s4,17,stim,parietal,-0.0445819008759,s4_stim,s4_stim
25,s3,17,stim,parietal,-0.0535140677471,s3_stim,s3_stim
26,s2,17,stim,parietal,-0.0772924001886,s2_stim,s2_stim
27,s1,17,stim,parietal,-0.0380205789406,s1_stim,s1_stim
28,s0,17,stim,parietal,-0.0713003853978,s0_stim,s0_stim
