,subject,subunit,group,variable
0,S_B0,CELL_S_B0_0,B,2.807230761068103
1,S_B0,CELL_S_B0_0,B,1.3506319886466458
2,S_B0,CELL_S_B0_0,B,1.612758224236238
3,S_B0,CELL_S_B0_0,B,2.8411526494837096
4,S_B0,CELL_S_B0_0,B,1.443976428850103
5,S_B0,CELL_S_B0_0,B,2.5014071336663477
6,S_B0,CELL_S_B0_0,B,1.193345133153375
7,S_B0,CELL_S_B0_0,B,1.7710042344894745
8,S_B0,CELL_S_B0_0,B,2.728849555918486
9,S_B0,CELL_S_B0_0,B,1.1143363901829826
10,S_B0,CELL_S_B0_0,B,1.1715544128175415
11,S_B0,CELL_S_B0_0,B,1.3029176327896381
12,S_B0,CELL_S_B0_0,B,2.092995138919548
13,S_B0,CELL_S_B0_0,B,2.704325209899357
14,S_B0,CELL_S_B0_0,B,1.2512641721209963
15,S_B0,CELL_S_B0_0,B,3.0298479979481607
16,S_B0,CELL_S_B0_0,B,1.7698664011278291
17,S_B0,CELL_S_B0_0,B,1.4347527248410579
18,S_B0,CELL_S_B0_0,B,0.9805987582227733
19,S_B0,CELL_S_B0_0,B,1.3697787049223253
20,S_B0,CELL_S_B0_0,B,2.7542117341011956
21,S_B0,CELL_S_B0_0,B,1.6210883657807156
22,S_B0,CELL_S_B0_0,B,1.1995063960756445
23,S_B0,CELL_S_B0_0,B,0.9544466681390511
24,S_B0,CELL_S_B0_0,B,1.1464234639413484
25,S_B0,CELL_S_B0_0,B,2.5740384436759984
26,S_B0,CELL_S_B0_0,B,2.059180723430766
27,S_B0,CELL_S_B0_0,B,2.0410684121592566
28,S_B0,CELL_S_B0_0,B,1.8030294255801274
29,S_B0,CELL_S_B0_0,B,1.8951754091745008
30,S_B0,CELL_S_B0_0,B,1.7082449356715264
31,S_B0,CELL_S_B0_0,B,2.953849867126813
32,S_B0,CELL_S_B0_0,B,3.4108522497023563
33,S_B0,CELL_S_B0_0,B,1.1279564896486205
34,S_B0,CELL_S_B0_0,B,1.6357777675023761
